# media for ecoli_core BiGG model metabolism
"molecule id"	"concentration (units.mmol / units.L)"
"23ccmp_e"	0.0
"phe__L_e"	0.0
"pheme_e"	0.0
"pi_e"	100.0
"malt_e"	0.0
"malthx_e"	0.0
"maltpt_e"	0.0
"malttr_e"	0.0
"maltttr_e"	0.0
"pnto__R_e"	0.0
"ppa_e"	0.0
"ppal_e"	0.0
"man6p_e"	0.0
"23cgmp_e"	0.0
"man_e"	0.0
"manglyc_e"	0.0
"melib_e"	0.0
"pppn_e"	0.0
"ppt_e"	0.0
"pro__L_e"	0.0
"progly_e"	0.0
"met__D_e"	0.0
"met__L_e"	0.0
"metsox_R__L_e"	0.0
"metsox_S__L_e"	0.0
"psclys_e"	0.0
"pser__L_e"	0.0
"ptrc_e"	0.0
"pyr_e"	0.0
"mg2_e"	0.005816253912338271
"minohp_e"	0.0
"r5p_e"	0.0
"mmet_e"	0.0
"23cump_e"	0.0
"mn2_e"	0.002326501564935309
"mnl_e"	0.0
"rib__D_e"	0.0
"rmn_e"	0.0
"sbt__D_e"	0.0
"mobd_e"	0.002326501564935309
"ser__D_e"	0.0
"mso3_e"	0.0
"23dappa_e"	0.0
"n2o_e"	0.0
"na1_e"	0.0
"ser__L_e"	0.0
"skm_e"	0.0
"nac_e"	0.0
"so2_e"	0.0
"26dap__M_e"	0.0
"so3_e"	0.0
"nh4_e"	20.0
"ni2_e"	0.0
"so4_e"	0.18435940995093805
"nmn_e"	0.0
"2ddglcn_e"	0.0
"no2_e"	0.0
"no3_e"	0.0
"no_e"	0.0
"spmd_e"	0.0
"succ_e"	0.0
"sucr_e"	0.0
"sulfac_e"	0.0
"tartr__L_e"	0.0
"o16a4colipa_e"	0.0
"o2_e"	100.0
"taur_e"	0.0
"34dhpac_e"	0.0
"tcynt_e"	0.0
"thm_e"	0.0
"thr__L_e"	0.0
"thrp_e"	0.0
"3amp_e"	0.0
"thym_e"	0.0
"thymd_e"	0.0
"tma_e"	0.0
"tmao_e"	0.0
"tre_e"	0.0
"3cmp_e"	0.0
"trp__L_e"	0.0
"tsul_e"	0.0
"ttdca_e"	0.0
"ttdcea_e"	0.0
"tungs_e"	0.0
"tym_e"	0.0
"tyr__L_e"	0.0
"tyrp_e"	0.0
"3gmp_e"	0.0
"uacgam_e"	0.0
"udpacgal_e"	0.0
"udpg_e"	0.0
"udpgal_e"	0.0
"udpglcur_e"	0.0
"3hcinnm_e"	0.0
"ump_e"	0.0
"ura_e"	0.0
"urea_e"	0.0
"uri_e"	0.0
"val__L_e"	0.0
"xan_e"	0.0
"3hpppn_e"	0.0
"xmp_e"	0.0
"xtsn_e"	0.0
"xyl__D_e"	0.0
"xylu__L_e"	0.0
"zn2_e"	0.002326501564935309
"3ump_e"	0.0
"4abut_e"	0.0
"4hoxpacd_e"	0.0
"5dglcn_e"	0.0
"LalaDgluMdapDala_e"	0.0
"LalaDgluMdap_e"	0.0
"ac_e"	0.0
"acac_e"	0.0
"acald_e"	0.0
"acgal1p_e"	0.0
"acgal_e"	0.0
"acgam1p_e"	0.0
"acgam_e"	0.0
"acmana_e"	0.0
"acmum_e"	0.0
"acnam_e"	0.0
"acolipa_e"	0.0
"acser_e"	0.0
"ade_e"	0.0
"adn_e"	0.0
"adocbl_e"	0.0
"ag_e"	0.0
"agm_e"	0.0
"akg_e"	0.0
"ala_B_e"	0.0
"ala__D_e"	0.0
"ala__L_e"	0.0
"alaala_e"	0.0
"all__D_e"	0.0
"alltn_e"	0.0
"amp_e"	0.0
"anhgm_e"	0.0
"arab__L_e"	0.0
"arbtn_e"	0.0
"arbtn_fe3_e"	0.0
"arg__L_e"	0.0
"ascb__L_e"	0.0
"asn__L_e"	0.0
"aso3_e"	0.0
"asp__L_e"	0.0
"but_e"	0.0
"butso3_e"	0.0
"ca2_e"	0.003489752347402963
"cbi_e"	0.0
"cbl1_e"	0.0
"cd2_e"	0.0
"cgly_e"	0.0
"chol_e"	0.0
"cit_e"	0.0
